 the iv  	 sayang oov
 ljubav iv  	 ljubav iv
 biti iv  	 biti iv
 veče iv  	 večna iv
 ako iv  	 ako iv
 ceo iv  	 ceo iv
 fejs iv  	 fejs iv
 zna iv  	 zna iv
 za iv  	 za iv
 oov  	 njihovu iv
 ljubav iv  	 ljubav iv
 , iv  	 , iv
 i iv  	 i iv
 faks oov  	 ofc iv
 gde iv  	 gde iv
 su iv  	 su iv
 i iv  	 i iv
 šta iv  	 šta iv
 rade iv  	 rade iv
 oov  	 svake iv
 u iv  	 sekunde iv
 dok iv  	 dok iv
 je iv  	 je iv
 da iv  	 odgovarala iv
  	 istoriju iv
 drugarica iv  	 drugarica iv
 iz iv  	 iz iv
 i iv  	 odeljenja iv
 stvarno iv  	 stvarno iv
 ćale iv  	 pala iv
 u iv  	 u iv
 znaš oov  	 nesvest iv
 , iv  	 , iv
 a iv  	 a iv
 oov  	 profesorka iv
 u iv  	 u iv
 fazonu iv  	 fazonu iv
 : iv  	 : iv
 li iv  	 ` iv
  	 uuu iv
 bre iv  	 bre iv
 , iv  	 , iv
 jedan iv  	 jedan iv
  	 car iv
 iv  	 iraklije iv
 da iv  	 da iv
 te iv  	 te iv
 znaš oov  	 zanesvesti iv
 li iv  	 ` iv
 što iv  	 što iv
 nisam iv  	 nisam iv
 iv  	 prebogat iv
 da iv  	 da iv
 me iv  	 me iv
 neko iv  	 neko iv
 pita iv  	 pita iv
 jeste iv  	 jesi iv
 izašao iv  	 išao iv
 da iv  	 da iv
 znaš iv  	 glasaš iv
 ja iv  	 ja iv
 kažem iv  	 kažem iv
 ne iv  	 ne iv
 imao iv  	 imao iv
 sam iv  	 sam iv
 znaš iv  	 manikir iv
 oov  	 zlatnim oov
 oov  	 kartončićima iv
 što iv  	 što iv
 znam iv  	 znam iv
 da iv  	 da iv
 sam iv  	 sam iv
 vas iv  	 vas iv
 žene iv  	 smorio iv
 do iv  	 neverovatno iv
 mnogo iv  	 mnogo iv
 , iv  	 , iv
 ali iv  	 ali iv
 ako iv  	 ako iv
 možemo iv  	 možete iv
 oov  	 pogledajte iv
 poruku iv  	 poruku iv
 na iv  	 na iv
 faks oov  	 fb-u oov
 , iv  	 , iv
 i iv  	 i iv
 ako iv  	 ako iv
 može iv  	 može iv
 može iv  	 odgovor iv
 , iv  	 , iv
 hvala iv  	 hvala iv
 : iv  	 :d iv
 oov  	 baksuz iv
 ili oov  	 lvl iv
 svaki iv  	 svaki iv
 put iv  	 put iv
 kad iv  	 kad iv
 se iv  	 se iv
 li iv  	 razbolim iv
 , iv  	 , iv
 dobijem iv  	 dobijem iv
 da iv  	 da iv
 pijem iv  	 pijem iv
 iv  	 panklav iv
 život oov  	 veličine oov
 i iv  	 lubenice iv
 od iv  	 od iv
 koliko iv  	 kilo iv
 i iv  	 i iv
 pošto oov  	 sedamsto iv
 iv  	 pedeset iv
 . iv  	 . iv
 kažu oov  	 druže oov
 ja iv  	 ja iv
 se iv  	 se iv
 ne iv  	 ne iv
 mislim oov  	 sprdam iv
 ali oov  	 ali oov
 ono iv  	 ono iv
 šta oov  	 šta oov
 ćeš oov  	 ćeš oov
 ti iv  	 ti iv
 pomoći oov  	 pomoći oov
 koji iv  	 koji iv
 si iv  	 si iv
 znaš oov  	 zavaljen iv
 u iv  	 u iv
 oov  	 fotelji iv
 ispred iv  	 ispred iv
 tebe iv  	 tebe iv
 dobro oov  	 giros iv
 čast oov  	 čaša oov
 iv  	 hladne iv
 koliko oov  	 kole iv
 i iv  	 i iv
 toliko iv  	 toliko iv
 puno iv  	 puno iv
 kurac iv  	 struje iv
 srećan iv  	 srećan iv
 rođendan iv  	 rođendan iv
 sve iv  	 sve iv
 najbolje iv  	 najbolje iv
 i iv  	 i iv
 da iv  	 da iv
 i iv  	 i iv
 dalje iv  	 dalje iv
 kažeš iv  	 kolješ iv
  	 fejsbukovce oov
 kurve iv  	 kurve iv
 i iv  	 i iv
 sve iv  	 sve iv
 rekoh iv  	 redom iv
 obožavam oov  	 samokažnjavam oov
 se iv  	 se iv
 biti oov  	 bičem oov
 od iv  	 od iv
  	 kostreti iv
 iv  	 klečeći oov
 na iv  	 na iv
  	 kukuruzu iv
 zbog iv  	 zbog iv
 da iv  	 da iv
 sam iv  	 sam iv
 za iv  	 zla iv
 ljudi iv  	 luda iv
 kuću oov  	 kučka oov
 , iv  	 , iv
 tek iv  	 tj. iv
 učim oov  	 učim oov
 pravo iv  	 pravo iv
 i oov  	 rasturanja iv
 juče oov  	 preduzeća oov
 . iv  	 . iv
 iv  	 efekti iv
 su iv  	 su iv
 iv  	 slični oov
 obožavam iv  	 obožavam iv
 oov  	 njihove iv
 znaš oov  	 naslove iv
 . iv  	 . iv
 da iv  	 drinkić iv
 : iv  	 : iv
 možda iv  	 mlađa iv
 piše iv  	 pije iv
 bi iv  	 dačića iv
 da iv  	 da iv
 iv  	 zaboravi iv
 ! iv  	 ! iv
 - iv  	 - iv
  	 kurir iv
 via iv  	 via iv
 pošto iv  	 pisao iv
 sam iv  	 sam iv
 i iv  	 izjavu iv
 u iv  	 u iv
 čast iv  	 četvroj iv
 ko iv  	 srednje iv
 zašto iv  	 zašto iv
 mi iv  	 mi iv
 je iv  	 je iv
 i iv  	 pronađen iv
 li iv  	 alkohol iv
 u iv  	 u iv
 iv  	 zadnjoj iv
 iv  	 klupi iv
 do iv  	 do iv
 znaš oov  	 zida iv
 oov  	 voleo iv
 sam iv  	 sam iv
 i iv  	 i iv
 u iv  	 u iv
  	 školi oov
 da iv  	 da iv
 pijem iv  	 pijem iv
 ko iv  	 manu iv
 pošto oov  	 chao iv
 posle iv  	 14. iv
 jebem iv  	 septembra iv
 u iv  	 u iv
 beogradu iv  	 beogradu iv
 - iv  	 - iv
 možemo oov  	 fenomenalno iv
 ! iv  	 ! iv
 jedino iv  	 jedino iv
 mi iv  	 mi iv
 koja iv  	 smor iv
 što iv  	 što iv
 ja iv  	 ja iv
 nisam iv  	 nisam iv
 tu iv  	 tu iv
 :) iv  	 :( iv
 život iv  	 život iv
 stvarno iv  	 stvarno iv
 zna iv  	 zna iv
 biti iv  	 biti iv
  	 surov iv
 . iv  	 . iv
 u iv  	 u iv
 čovek oov  	 čovek oov
 ne iv  	 ne iv
 može oov  	 može oov
 da iv  	 da iv
  	 ucrta iv
 kuću oov  	 kuću oov
 zbog iv  	 zbog iv
 neki iv  	 neizmirenog iv
 iv  	 kredita iv
 prema iv  	 prema iv
 treba oov  	 beobanci iv
 iz iv  	 iz iv
 pošto oov  	 80-ih oov
 . iv  	 . iv
 nikad iv  	 nikad iv
 nije iv  	 nije iv
 imao iv  	 imao iv
 ko iv  	 kredit iv
 a iv  	 a iv
 ova iv  	 ova iv
 ili oov  	 informacija oov
 nije iv  	 nije iv
 bila iv  	 bila iv
 pre iv  	 pre iv
 4 iv  	 4 iv
 u iv  	 g. oov
 moj iv  	 moj iv
 bi iv  	 brat iv
 ( iv  	 ( iv
 1 iv  	 18 iv
 jedva iv  	 jedva iv
 ) iv  	 ) iv
 , iv  	 , iv
 preko iv  	 veliko iv
 odmah oov  	 mudo iv
 , iv  	 , iv
 znaš oov  	 nekadašnji iv
 iv  	 lokalni iv
 neću iv  	 džiberčić iv
 i iv  	 i iv
 oov  	 dilerčić iv
 , iv  	 , iv
 radi iv  	 drži iv
 na iv  	 na iv
  	 telefonu iv
 sebe iv  	 sebe iv
 i iv  	 i iv
 svoju iv  	 svoju iv
 devojke iv  	 devojku iv
 kako iv  	 kako iv
 se iv  	 se iv
 ljudi oov  	 ljube oov
 . iv  	 . iv
 pošto oov  	 oprosti iv
 oov  	 svete iv
 a iv  	 a iv
 za iv  	 za iv
 njega iv  	 njega iv
 i iv  	 i iv
 stvarno iv  	 ostale iv
 u iv  	 u iv
 sa iv  	 vlasti iv
 koji iv  	 koji iv
 to iv  	 to iv
 isto iv  	 isto iv
 oov  	 tvrde iv
 će iv  	 će iv
 se iv  	 se iv
 već iv  	 već iv
 naći iv  	 naći iv
 " iv  	 " iv
 znaš iv  	 baja iv
 " iv  	 " iv
 . iv  	 . iv
 , iv  	 , iv
 jebote iv  	 jebaćemo iv
 vam iv  	 vam iv
  	 mater iv
 kada iv  	 kada iv
 obožavam iv  	 upoznam iv
 nekog iv  	 nekog iv
 dečka iv  	 dečka iv
 u iv  	 u iv
 iv  	 početku iv
 sam iv  	 sam iv
 da oov  	 stidljiva iv
 i iv  	 i iv
 treba iv  	 retardirana iv
 . iv  	 . iv
 oov  	 kasnije iv
 sam iv  	 sam iv
 samo iv  	 samo iv
 treba iv  	 retardirana iv
 . iv  	 . iv
 pa iv  	 pa iv
 da oov  	 da oov
 gde iv  	 xd iv
 da oov  	 danju iv
 živim oov  	 živim oov
 kao oov  	 kao oov
 da iv  	 da iv
 je iv  	 je iv
 vidi iv  	 leto iv
 , iv  	 , iv
  	 gola iv
 , iv  	 , iv
 a iv  	 a iv
 noć oov  	 noću oov
 da iv  	 da iv
  	 crknem iv
 od iv  	 od iv
 iv  	 hladnoće oov
 ( iv  	 ( iv
 i iv  	 i iv
 što iv  	 gladi iv
 ) iv  	 ) iv
 neće iv  	 daj iv
 iv  	 podesite iv
 mi iv  	 mi iv
  	 temperaturu iv
 da iv  	 da iv
 li iv  	 li iv
 da iv  	 da iv
 idem iv  	 idem iv
 na iv  	 na iv
 iv  	 utakmicu iv
 i iv  	 i iv
 ko iv  	 ostavim iv
 ako oov  	 znojavi iv
 iv  	 hajneken iv
 i iv  	 i iv
 iv  	 uplakanog iv
  	 šuku iv
 u iv  	 u iv
  	 lazarevcu iv
 u iv  	 u iv
 ulici iv  	 ulici iv
 da oov  	 dula iv
 oov  	 karaklajića iv
 ? iv  	 ? iv
 li oov  	 la iv
 i iv  	 madre iv
  	 muerta iv
 sam iv  	 sam iv
 bih iv  	 gledala iv
 . iv  	 . iv
 jedva iv  	 jedva iv
 . iv  	 . iv
 inače iv  	 inače iv
 ne iv  	 ne iv
 volim iv  	 volim iv
  	 horore iv
 , iv  	 , iv
 a iv  	 a iv
 iv  	 španski iv
 hajde iv  	 horori iv
 su iv  	 su iv
 ova iv  	 posebna iv
 oov  	 kategorija iv
 iv  	 jezivosti iv
 . iv  	 . iv
 možda oov  	 možda oov
 bi iv  	 bi iv
 bilo iv  	 bilo iv
 ok iv  	 ok iv
 da iv  	 da iv
 se iv  	 se iv
 neko iv  	 neko iv
 seks oov  	 seća oov
 toga iv  	 toga iv
 i iv  	 i iv
 možda oov  	 možda oov
 nije iv  	 nije iv
 bilo iv  	 bilo iv
 hladno iv  	 hladno iv
 gde iv  	 xd iv
 mora iv  	 mora iv
 da iv  	 da iv
 je iv  	 je iv
 treba oov  	 retardiran iv
 osećaj oov  	 osećaj oov
 : iv  	 :d iv
 dečko iv  	 dečko iv
 me iv  	 me iv
 znaš oov  	 zamenio iv
 za iv  	 za iv
 iv  	 treninge iv
 , iv  	 , iv
 a iv  	 a iv
 ja iv  	 ja iv
 se iv  	 se iv
 uopšte iv  	 uopšte iv
 ne iv  	 ne iv
 može iv  	 ložim iv
 na iv  	 na iv
 da oov  	 definisane iv
 za iv  	 tipove iv
 , iv  	 , iv
 i iv  	 i iv
 oov  	 oblak iv
 ljudi iv  	 ljudi iv
 su iv  	 su iv
 mi iv  	 mi iv
 okej iv  	 okej iv
 za iv  	 za iv
 znaš oov  	 pristojan iv
 život iv  	 život iv
 u iv  	 u iv
 srbiji iv  	 srbiji iv
 iv  	 potrebno iv
 za iv  	 260.000 iv
 znaš oov  	 din. oov
 ok iv  	 > iv
 tačno iv  	 tačno iv
 , iv  	 , iv
 dečka iv  	 dakle iv
 , iv  	 , iv
 u iv  	 u iv
 srbiji iv  	 srbiji iv
 nekog iv  	 nepristojno iv
 bi iv  	 živi iv
 iv  	 najmanje iv
 10 iv  	 90 iv
 kurac iv  	 % iv
 ljudi iv  	 ljudi iv
 ; iv  	 ; iv
 dečka iv  	 dakle iv
 , iv  	 , iv
 srbija iv  	 srbija iv
 je iv  	 je iv
 ko iv  	 kao oov
 rođendan oov  	 rođena oov
 za iv  	 za iv
 uvek iv  	 eu iv
 “ iv  	 ~ iv
 ali oov  	 razrednom iv
 nisu iv  	 sin iv
 hoće iv  	 trči iv
 kroz iv  	 kroz iv
 drugi iv  	 grad iv
 u iv  	 u iv
 iv  	 gaćama iv
 i iv  	 i iv
 to oov  	 opancima iv
 a iv  	 a iv
 onda iv  	 onda iv
 mi iv  	 mi iv
 ovaj iv  	 ovaj iv
 koliko iv  	 kenja iv
 kako iv  	 kako iv
 sam iv  	 sam iv
 ja iv  	 ja iv
 iv  	 nenormalna iv
 , iv  	 , iv
 čovek iv  	 marš oov
 iv  	 materinu iv
 došla oov  	 došla oov
 mi iv  	 mi iv
 sestra iv  	 sestra iv
 danas iv  	 danas iv
 i iv  	 i iv
 ja iv  	 ja iv
 iv  	 ulazim iv
 u iv  	 u iv
 kuću oov  	 kuću oov
 moj iv  	 moj iv
 bi iv  	 brat iv
 hoće oov  	 trči oov
  	 go iv
 , iv  	 , iv
 a iv  	 a iv
 njega iv  	 njen iv
 pas iv  	 pas iv
 iv  	 obučen oov
 i iv  	 i iv
 onda iv  	 onda iv
 obožavam iv  	 recite iv
 da iv  	 da iv
 moj iv  	 moj iv
 oov  	 mali iv
 bi iv  	 brat iv
 nije iv  	 nije iv
 hajde iv  	 neandertalac iv
 oov  	 zatim iv
 ona iv  	 ona iv
 ujutru iv  	 ujutru iv
 i iv  	 ustane iv
 iv  	 pročita iv
 to iv  	 to iv
 i iv  	 i iv
 da iv  	 zaljubi iv
 se iv  	 se iv
 u iv  	 u iv
 mene iv  	 mene iv
 , iv  	 , iv
 a iv  	 a iv
 ja iv  	 ja iv
 sam iv  	 sam iv
 inače iv  	 inače iv
 samo iv  	 samo iv
 mislio iv  	 mislio iv
 da iv  	 da iv
 ono iv  	 ono iv
 ćao iv  	 ćao iv
 biti iv  	 biti iv
 dovoljno iv  	 dovoljno iv
 ne iv  	 ne iv
 znam iv  	 znam iv
 da iv  	 da iv
 li iv  	 li iv
 me iv  	 me iv
 više iv  	 više iv
  	 plaše iv
 vreme iv  	 tvoje iv
 oov  	 namere iv
 ili iv  	 ili iv
 večeras iv  	 mogućnost iv
 oov  	 višestrukog iv
 znaš oov  	 značenja iv
 oov  	 svake iv
 vreme iv  	 tvoje iv
 obožavam iv  	 rečenice iv
 gde iv  	 xd iv
 za iv  	 za iv
 sat iv  	 sat iv
 vremena iv  	 vremena iv
 mi iv  	 mi iv
 počinje iv  	 počinje iv
 prvi iv  	 prvi iv
 li iv  	 trening iv
 nakon iv  	 nakon iv
 5 iv  	 5 iv
 i iv  	 i iv
 po iv  	 po iv
 meseci iv  	 meseci iv
 oov  	 gipsa iv
 i iv  	 i iv
 iv  	 oporavka iv
 . iv  	 . iv
 a iv  	 a iv
 vidi iv  	 vidi iv
 nešto oov  	 nebo iv
 što iv  	 što iv
 se iv  	 se iv
 moći iv  	 mrči iv
 da iv  	 da iv
 pita iv  	 piša iv
 , iv  	 , iv
 još iv  	 još iv
 žele iv  	 fale iv
 iv  	 munje iv
 i iv  	 i iv
 ( iv  	 gromovi iv
 po iv  	 po iv
 fejsu iv  	 fejsu iv
 svi iv  	 svi iv
 između oov  	 izbacuju oov
 neke iv  	 neke iv
 slike iv  	 slike iv
 sa iv  	 sa iv
 mora iv  	 mora iv
 , iv  	 , iv
 neku iv  	 nekih iv
 iv  	 izlazaka iv
 ... iv  	 ... iv
 posao iv  	 prosto iv
 se iv  	 se iv
 osećam oov  	 osećam oov
 kao iv  	 kao iv
 da iv  	 da iv
 nisam iv  	 nisam iv
 u iv  	 u iv
 fazonu iv  	 fazonu iv
 ... iv  	 ... iv
 kojima iv  	 šaljem iv
 malo iv  	 mail iv
 : iv  	 : iv
 znaš iv  	 poštovana iv
 , iv  	 , iv
 iv  	 očekujemo iv
 vas iv  	 vas iv
 u iv  	 u iv
 kurac iv  	 sredu iv
 u iv  	 u iv
 kurac iv  	 17 iv
 h iv  	 h iv
 evo iv  	 povodom iv
  	 razgovora iv
 za iv  	 za iv
 posao iv  	 posao iv
 . iv  	 . iv
 je iv  	 pozdrav iv
 može iv  	 odgovor iv
 : iv  	 : iv
 hajde oov  	 hajde oov
 hajde oov  	 hajde oov
 hajde oov  	 hajde oov
 ti iv  	 ti iv
 , iv  	 , iv
 srce iv  	 srce iv
 moje iv  	 moje iv
 , iv  	 , iv
 što iv  	 ostani iv
 kažeš oov  	 nezaposlena iv
 ! iv  	 ! iv
 pošto iv  	 pošto iv
 možemo iv  	 možete iv
 oov  	 cenzurisati iv
 znaš oov  	 net iv
 , iv  	 , iv
 evo iv  	 evo iv
 dođe iv  	 domaćeg iv
 : iv  	 : iv
 i iv  	 i iv
  	 facebook iv
 i iv  	 i iv
 kurac iv  	 yt iv
 ! iv  	 ! iv
 oov  	 opasno iv
 je iv  	 je iv
 danas iv  	 danas iv
 im iv  	 ići iv
 bila oov  	 ulicama iv
 i iv  	 i iv
 iv  	 točiti iv
 oov  	 benzin iv
 . iv  	 . iv
 mogu iv  	 mogu iv
 da iv  	 da iv
 vas iv  	 vas iv
 zašto oov  	 zarobe iv
 i iv  	 i iv
 bude iv  	 odvedu iv
 na iv  	 na iv
  	 slet iv
 u iv  	 u iv
 " iv  	 " iv
 znaš oov  	 naš iv
 oov  	 najdublji iv
 stvarno iv  	 stadion iv
 " iv  	 " iv
 . iv  	 . iv
 ne oov  	 ein iv
 ovako oov  	 volk iv
 , iv  	 , iv
 ne oov  	 ein iv
 sve oov  	 sv iv
 , iv  	 , iv
 ne oov  	 ein iv
  	 fuhrer iv
 . iv  	 . iv
 inače iv  	 inače iv
 iv  	 kolega iv
 oov  	 kreten iv
 zove iv  	 zove iv
 na iv  	 na iv
 faks oov  	 fiksni iv
 i iv  	 i iv
 kaže iv  	 kaže iv
 " iv  	 " iv
 dobar iv  	 dobar iv
 dan iv  	 dan iv
 ovde iv  	 ovde iv
 iv  	 vlasnik iv
 opet oov  	 opel iv
 kažeš oov  	 korse iv
 od iv  	 od iv
 sinoć iv  	 sinoć iv
 znaš iv  	 vaš iv
 nisu iv  	 sin iv
 mi iv  	 mi iv
 treba iv  	 treba iv
 " iv  	 " iv
 koja iv  	 +++ iv
 znaš oov  	 ujak iv
 kažeš oov  	 skače oov
 iz iv  	 iz iv
 kola iv  	 kola iv
 jer iv  	 jer iv
 žele oov  	 želi oov
 da iv  	 da iv
 prvo iv  	 proba iv
 kako iv  	 kako iv
 kada oov  	 kaskaderima iv
 i iv  	 i iv
 ovi oov  	 stavlja iv
 šta oov  	 travu iv
 na iv  	 na iv
 pičku iv  	 picu iv
 umesto iv  	 umesto iv
 iv  	 origana iv
 jer iv  	 jer iv
 žele oov  	 želi oov
 da iv  	 da iv
 iv  	 podigne iv
 znaš oov  	 atmosferu iv
 na iv  	 na iv
 rođendan oov  	 rođendanu oov
 moje iv  	 moje iv
 srce iv  	 srce iv
 se iv  	 se iv
 neće oov  	 neće oov
 nikad iv  	 nikad iv
 oov  	 oporaviti oov
 mislim oov  	 mislim oov
 oov  	 zarasti iv
 ne oov  	 rane iv
 . iv  	 . iv
 jer iv  	 jer iv
 čim oov  	 čim oov
 počne oov  	 počne oov
 da iv  	 da iv
 znaš oov  	 zarasta iv
 neko iv  	 neko iv
 uvek iv  	 uvek iv
 mora iv  	 mora iv
 da iv  	 da iv
 mi iv  	 mi iv
 ponovo iv  	 ponovo iv
 oov  	 otvori oov
 i iv  	 i iv
 tako iv  	 tako iv
 u iv  	 u iv
  	 krug iv
 . iv  	 . iv
 :) iv  	 :( iv
 iv  	 oduvek iv
 su iv  	 su iv
 me iv  	 me iv
 oov  	 fascinirali iv
 ovi iv  	 ovi iv
 li oov  	 ldp iv
 i oov  	 omladinci iv
 , iv  	 , iv
 i iv  	 argumenti iv
 im iv  	 im iv
 nisu iv  	 nisu iv
 ali oov  	 jača oov
  	 strana iv
 , iv  	 , iv
 samo iv  	 samo iv
  	 brbljaju iv
 nešto oov  	 nešto oov
 " iv  	 " iv
 boli iv  	 belo iv
 " iv  	 " iv
 znaš oov  	 nepovezano iv
 što oov  	 što oov
 se iv  	 se iv
 mene iv  	 mene iv
 hoće oov  	 tiče oov
 na iv  	 na iv
  	 poluvremenu iv
 5 iv  	 5 iv
 izašao oov  	 izmena iv
 . iv  	 . iv
 da iv  	 da iv
 uđem oov  	 uđu oov
 faks iv  	 fofana iv
 , iv  	 , iv
 iv  	 živković oov
 i iv  	 i iv
 ili oov  	 ilić oov
 a iv  	 a iv
 da iv  	 da iv
 imaju oov  	 izađu oov
 iv  	 škuletić oov
 , iv  	 , iv
 iv  	 ninković oov
 , iv  	 , iv
 oov  	 brašanac oov
 , iv  	 , iv
 najveći oov  	 nikolić oov
 i iv  	 i iv
  	 uprava iv
 iv  	 zemunac iv
 možemo oov  	 doživeo oov
 oov  	 trans iv
 tek iv  	 tokom iv
 ona iv  	 protesta iv
 protiv iv  	 protiv iv
  	 doseljenika oov
 : iv  	 : iv
 iv  	 ugrizao oov
 sam iv  	 sam iv
 se iv  	 se iv
 za iv  	 za iv
  	 ruku iv
 da iv  	 da iv
 bih iv  	 bih iv
 da iv  	 prestao iv
 da iv  	 da iv
 se iv  	 se iv
 mislim iv  	 smejem iv
 sve iv  	 sve iv
 ! iv  	 !!!!!!!!!!!! iv
 treba iv  	 treba iv
 ti iv  	 ti iv
 samo iv  	 samo iv
 sat iv  	 sat iv
 vremena iv  	 vremena iv
 ... iv  	 ... iv
 a iv  	 a iv
 iv  	 svakako iv
 meni iv  	 meni iv
 treba iv  	 treba iv
 bar iv  	 bar iv
 7 iv  	 7 iv
 dana iv  	 dana iv
 oov  	 najave iv
 za iv  	 za iv
 da iv  	 webinar iv
 ( iv  	 ( iv
 jer iv  	 jer iv
 je iv  	 je iv
  	 uživo oov
 ) iv  	 ) iv
 kada iv  	 kada iv
 se iv  	 se iv
 dobro oov  	 dogovorimo iv
 . iv  	 . iv
 oči oov  	 cc iv
 tako iv  	 tako iv
 je iv  	 je iv
 , iv  	 , iv
 ali iv  	 ali iv
 meni iv  	 meni iv
 nisu iv  	 nisu iv
 problem iv  	 problem iv
 ovi iv  	 ovi iv
 iv  	 predmeti iv
 što iv  	 što iv
 se iv  	 se iv
 da oov  	 bubaju iv
 . iv  	 . iv
 ljudima iv  	 naučim iv
 ja iv  	 ja iv
 sve iv  	 sve iv
 to iv  	 to iv
 ali iv  	 ali iv
 oov  	 matematika oov
 mi iv  	 mi iv
 je iv  	 je iv
 uopšte iv  	 ubistvo iv
 .. iv  	 .. iv
 :) iv  	 :) iv
 može oov  	 jebem oov
 ga iv  	 ga iv
 , iv  	 , iv
 li oov  	 lažno iv
 me iv  	 me iv
 možeš oov  	 optužuješ iv
 da iv  	 da iv
 želim iv  	 pravim iv
 neke iv  	 neke iv
 iv  	 spiskove iv
 . iv  	 . iv
 oov  	 brojao oov
 jeste iv  	 jesam iv
 , iv  	 , iv
 pošto oov  	 pisao oov
 nisam iv  	 nisam iv
 . iv  	 . iv
 to iv  	 to iv
 može oov  	 može oov
 svako iv  	 svako iv
 . iv  	 . iv
 oov  	 pretpostavila iv
 sam iv  	 sam iv
 ... iv  	 ... iv
 on iv  	 on iv
 verovatno iv  	 verovatno iv
 ni iv  	 ni iv
 ne iv  	 ne iv
 zna iv  	 zna iv
 kako iv  	 kako iv
 se iv  	 se iv
  	 koristi iv
 tw iv  	 tw iv
 , iv  	 , iv
 a iv  	 a iv
 i iv  	 i iv
 ako iv  	 ako iv
 zna iv  	 zna iv
 ... iv  	 ... iv
 ne iv  	 ne iv
 razumem oov  	 razume iv
 on iv  	 on iv
 nas iv  	 nas iv
 :) iv  	 :) iv
 oov  	 hasanaginica iv
 možda oov  	 možda oov
 , iv  	 , iv
 možeš oov  	 možeš oov
 više oov  	 više oov
 da iv  	 da iv
 priča oov  	 pričaš oov
 o iv  	 o iv
 oov  	 osećanjima oov
 , iv  	 , iv
 ko iv  	 patrijarhatu iv
 i iv  	 i iv
 iv  	 nezahvalnom iv
  	 položaju oov
 u iv  	 u iv
 ko iv  	 kom iv
 je iv  	 je iv
 ona iv  	 ona iv
 bila iv  	 bila iv
 kad iv  	 kad iv
 vam iv  	 vam iv
 preko iv  	 prođe iv
 faks iv  	 frka iv
 , iv  	 , iv
  	 mogli iv
 bi iv  	 bismo oov
 jedan iv  	 jedan iv
 je iv  	 sastanak iv
 . iv  	 . iv
 mislim oov  	 mislim oov
 , iv  	 , iv
 kad iv  	 kad iv
 već iv  	 već iv
 vidim iv  	 vidim iv
 da iv  	 da iv
 je iv  	 je iv
 rekao iv  	 firma iv
  	 takvog iv
 možemo iv  	 renomea iv
 u iv  	 u iv
 znaš oov  	 ns-u oov
 :) iv  	 :) iv
 nekog iv  	 hit iv
 sa iv  	 sa iv
 dečko iv  	 dočeka iv
 : iv  	 : iv
 iv  	 random iv
 devojka iv  	 devojka iv
 me iv  	 me iv
 3 iv  	 hvata iv
 za iv  	 za iv
  	 ruku iv
 da iv  	 da iv
 igram iv  	 igram iv
 s iv  	 s iv
 nekog iv  	 njom iv
 , iv  	 , iv
 posle iv  	 posle iv
 par iv  	 par iv
 min. oov  	 min. oov
 oov  	 prilazi iv
 joj iv  	 joj iv
 dečko iv  	 dečko iv
 , iv  	 , iv
 malo iv  	 malo iv
 se iv  	 se iv
 znaš oov  	 iznapušavaše iv
 i iv  	 i iv
 možeš oov  	 odoše iv
 kući iv  	 kući iv
 . iv  	 . iv
 životu iv  	 izvini iv
 verujem iv  	 verujem iv
 da iv  	 da iv
 bila oov  	 gadžica oov
 dobije iv  	 dobije iv
 bi oov  	 šizofreno oov
 znaš oov  	 cepanje iv
 čim oov  	 čim oov
 vidi iv  	 vidi iv
 da iv  	 da iv
 joj iv  	 joj iv
 izađem oov  	 iskačem oov
 na iv  	 na iv
  	 četu oov
 jer iv  	 jer iv
 je iv  	 je iv
 mislim iv  	 smaram iv
 nešto oov  	 nešto oov
 za iv  	 za iv
 iv  	 školu oov
 što oov  	 što oov
 oov  	 mali iv
 nije iv  	 nije iv
 iv  	 angažovao oov
 treba oov  	 kristijana iv
 iv  	 golubovića oov
 za iv  	 za iv
 oov  	 voditelja iv
 gde oov  	 novogodišnjeg oov
 dečko oov  	 dočeka oov
 ? iv  	 ? iv
 e iv  	 em iv
 reći oov  	 rečit oov
 . iv  	 . iv
 e iv  	 em iv
 iv  	 naočit oov
 , iv  	 , iv
 e iv  	 em iv
 se iv  	 se iv
 oov  	 koncepcijski iv
 znaš oov  	 savršeno oov
  	 uklapa iv
 . iv  	 . iv
 samo iv  	 samo iv
 kod iv  	 kod iv
 nas iv  	 nas iv
 može oov  	 može oov
 da iv  	 da iv
 se iv  	 se iv
 toga iv  	 dogodi iv
 da iv  	 da iv
  	 osiguravajuće oov
 komp oov  	 kompanije oov
 ne iv  	 ne iv
 izašao oov  	 izdaju iv
 pošto oov  	 putno iv
 " iv  	 osiguranje iv
 za iv  	 za iv
 jebem iv  	 bebe iv
 izađem oov  	 mlađe oov
 od iv  	 od iv
 :) iv  	 6 iv
 možeš oov  	 mes. iv
 . iv  	 . iv
 hvala iv  	 hvala iv
 što oov  	 što oov
 bar iv  	 bar iv
 kod iv  	 kod iv
 vas iv  	 vas iv
 može oov  	 može oov
 iv  	 pitali iv
 neku iv  	 neku iv
 znaš oov  	 ženu oov
 šta oov  	 šta oov
 misli iv  	 misli iv
 o iv  	 o iv
 gde oov  	 gejevima iv
 i iv  	 i iv
 želim oov  	 lezbijkama oov
 , iv  	 , iv
 a iv  	 a iv
 ona iv  	 ona iv
 kaže oov  	 kaže oov
 ' iv  	 ' iv
 i oov  	 bolesni iv
 su iv  	 su iv
 i iv  	 i iv
